市州	区县	城镇居民人均可支配收入	农村居民人均可支配收入	人均GDP	GDP	常住人口
贺州	钟山	39460 	18330 	43844.7990146338	15467000000	352767.040734699
贺州	富川	38569 	18297 	46717.8847781673	12391000000	265230.33007245
河池	金城江	47912 	18064 	84574.0892906053	30878000000	365100
河池	宜州	46951 	19339 	38565.3303637714	20779000000	538800
河池	南丹	45387 	18140 	79178.9940828402	21410000000	270400
河池	天峨	34651 	14701 	54884.2257597684	7585000000	138200
河池	凤山	31814 	13190 	25270.9359605911	4104000000	162400
河池	东兰	32241 	13278 	33729.1462217861	6874000000	203800
河池	罗城	31859 	13523 	36917.5491679274	9761000000	264400
河池	环江	36807 	16487 	40966.402416006	10852000000	264900
河池	巴马	35336 	13542 	38829.1830493665	8888000000	228900
河池	都安	32343 	13622 	19863.5402652316	10335000000	520300
河池	大化	31935 	13738 	25116.4748807185	8949000000	356300
来宾	兴宾	44803 	19824 	55054.9934007919	50056000000	909200
来宾	忻城	42335 	18165 	33596.4001384562	9706000000	288900
来宾	象州	44140 	19175 	51935.2491815206	14277000000	274900
来宾	武宣	43504 	19505 	53110.3074141049	17622000000	331800
来宾	金秀	43559 	16465 	52076.8601798855	6369000000	122300
来宾	合山	42273 	19395 	53787.5536480687	5013000000	93200
崇左	江州	44880 	21769 	67733.9787920701	29383000000	433800
崇左	扶绥	43125 	22193 	105522.462149417	42515000000	402900
崇左	宁明	36554 	18972 	48205.7877813505	14992000000	311000
崇左	龙州	37804 	17079 	52049.6894409938	11732000000	225400
崇左	大新	42619 	20324 	43328.4777858704	11898000000	274600
崇左	天等	36374 	17055 	32741.0417436276	8863000000	270700
崇左	凭祥	46099 	19041 	93202.8191072827	11902000000	127700
